Timestamp,drone_x,drone_y,drone_z,payload_x,payload_y,payload_z,round_bar_x,round_bar_y,round_bar_z
1716393780235715405,1474.118408203125,-150.99795532226562,166.05992126464844,2306.13623046875,-38.276493072509766,134.80345153808594,0.0,0.0,0.0
1716393780235725843,1474.118408203125,-150.99795532226562,166.05992126464844,2306.13623046875,-38.276493072509766,134.80345153808594,0.0,0.0,0.0
1716393780235727785,1474.118408203125,-150.99795532226562,166.05992126464844,2306.13623046875,-38.276493072509766,134.80345153808594,0.0,0.0,0.0
1716393780235739346,1474.118408203125,-150.99795532226562,166.05992126464844,2306.13623046875,-38.276493072509766,134.80345153808594,0.0,0.0,0.0
1716393780235742436,1474.118408203125,-150.99795532226562,166.05992126464844,2306.13623046875,-38.276493072509766,134.80345153808594,0.0,0.0,0.0
1716393780235744014,1474.1121215820312,-150.98870086669922,166.06305694580078,2306.13623046875,-38.276493072509766,134.80345153808594,0.0,0.0,0.0
1716393780245660386,1474.1058349609375,-150.9794464111328,166.06619262695312,2306.150634765625,-38.24722480773926,134.82447052001953,0.0,0.0,0.0
1716393780245673067,1474.1058349609375,-150.9794464111328,166.06619262695312,2306.1650390625,-38.21795654296875,134.84548950195312,0.0,0.0,0.0
1716393780245690378,1474.1058349609375,-150.9794464111328,166.06619262695312,2306.1650390625,-38.21795654296875,134.84548950195312,0.0,0.0,0.0
1716393780245697591,1474.1058349609375,-150.9794464111328,166.06619262695312,2306.1650390625,-38.21795654296875,134.84548950195312,0.0,0.0,0.0
1716393780245699264,1474.1101481119792,-150.9802042643229,166.0705108642578,2306.1650390625,-38.21795654296875,134.84548950195312,0.0,0.0,0.0
1716393780245706483,1474.1144612630208,-150.98096211751303,166.0748291015625,2306.162890625,-38.21994476318359,134.84709777832032,0.0,0.0,0.0
1716393780254993585,1474.1187744140625,-150.98171997070312,166.0791473388672,2306.1607421875,-38.22193298339844,134.8487060546875,0.0,0.0,0.0
1716393780255009040,1474.1187744140625,-150.98171997070312,166.0791473388672,2306.15859375,-38.22392120361328,134.85031433105468,0.0,0.0,0.0
1716393780255011699,1474.1187744140625,-150.98171997070312,166.0791473388672,2306.1564453125,-38.22590942382813,134.85192260742187,0.0,0.0,0.0
1716393780255014093,1474.1142272949219,-150.97644805908203,166.0714111328125,2306.154296875,-38.22789764404297,134.85353088378906,0.0,0.0,0.0
1716393780255022742,1474.1096801757812,-150.97117614746094,166.0636749267578,2306.154296875,-38.22789764404297,134.85353088378906,0.0,0.0,0.0
1716393780255024786,1474.1051330566406,-150.96590423583984,166.05593872070312,2306.154296875,-38.22789764404297,134.85353088378906,0.0,0.0,0.0
1716393780265556554,1474.1005859375,-150.96063232421875,166.04820251464844,2306.1597900390625,-38.219587326049805,134.86471557617188,0.0,0.0,0.0
1716393780265573178,1474.1005859375,-150.96063232421875,166.04820251464844,2306.165283203125,-38.21127700805664,134.8759002685547,0.0,0.0,0.0
1716393780265602501,1474.1005859375,-150.96063232421875,166.04820251464844,2306.165283203125,-38.21127700805664,134.8759002685547,0.0,0.0,0.0
1716393780265607508,1474.1005859375,-150.96063232421875,166.04820251464844,2306.165283203125,-38.21127700805664,134.8759002685547,0.0,0.0,0.0
1716393780265611817,1474.0965270996094,-150.96810150146484,166.03871536254883,2306.165283203125,-38.21127700805664,134.8759002685547,0.0,0.0,0.0
1716393780265629137,1474.0924682617188,-150.97557067871094,166.02922821044922,2306.1676025390625,-38.224167823791504,134.87281799316406,0.0,0.0,0.0
1716393780276233661,1474.0884094238281,-150.98303985595703,166.0197410583496,2306.169921875,-38.23705863952637,134.86973571777344,0.0,0.0,0.0
1716393780276275186,1474.0843505859375,-150.99050903320312,166.01025390625,2306.1722412109375,-38.24994945526123,134.8666534423828,0.0,0.0,0.0
1716393780276283724,1474.0843505859375,-150.99050903320312,166.01025390625,2306.174560546875,-38.262840270996094,134.8635711669922,0.0,0.0,0.0
1716393780276340868,1474.0843505859375,-150.99050903320312,166.01025390625,2306.174560546875,-38.262840270996094,134.8635711669922,0.0,0.0,0.0
1716393780276347609,1474.0843505859375,-150.99050903320312,166.01025390625,2306.174560546875,-38.262840270996094,134.8635711669922,0.0,0.0,0.0
1716393780276355004,1474.0975748697917,-150.99365743001303,166.02716064453125,2306.174560546875,-38.262840270996094,134.8635711669922,0.0,0.0,0.0
1716393780286136291,1474.1107991536458,-150.9968058268229,166.0440673828125,2306.1704915364585,-38.27663803100586,134.85452779134116,0.0,0.0,0.0
1716393780286176037,1474.1240234375,-150.9999542236328,166.06097412109375,2306.1664225260415,-38.290435791015625,134.8454844156901,0.0,0.0,0.0
1716393780286184585,1474.1240234375,-150.9999542236328,166.06097412109375,2306.162353515625,-38.30423355102539,134.83644104003906,0.0,0.0,0.0
1716393780286241066,1474.1240234375,-150.9999542236328,166.06097412109375,2306.162353515625,-38.30423355102539,134.83644104003906,0.0,0.0,0.0
1716393780286249103,1474.1240234375,-150.9999542236328,166.06097412109375,2306.162353515625,-38.30423355102539,134.83644104003906,0.0,0.0,0.0
1716393780286255319,1474.1134440104167,-150.99330139160156,166.05146280924478,2306.162353515625,-38.30423355102539,134.83644104003906,0.0,0.0,0.0
1716393780295400105,1474.1028645833333,-150.9866485595703,166.04195149739584,2306.1505533854165,-38.28496805826823,134.8253936767578,0.0,0.0,0.0
1716393780295420922,1474.09228515625,-150.97999572753906,166.03244018554688,2306.1387532552085,-38.26570256551107,134.81434631347656,0.0,0.0,0.0
