timestep,x,y,z,roll,pitch,yaw
0.0,1.4142135381698608,0.0,4.41421365737915,0.0,-0.0,0.0
0.0,1.4063648270859974,-1.2853908618913118e-21,4.405046687601853,-1.5536628178137953e-20,-0.0016940057470690487,1.3159571858966612e-23
1.0,1.3984284620893648,-2.2396964813547892e-08,4.395704261341287,7.73887154085347e-07,-0.0036885106558644004,3.812997797197722e-07
2.0,1.3904656491513643,-8.558870296466922e-07,4.386199409199957,-3.730617587639217e-05,-0.005291882008312281,-4.27341090509954e-07
3.0,1.382481108847959,1.2159140976250623e-07,4.3765369450459515,-1.717753067896862e-05,-0.006012800384820339,8.75666538125316e-07
4.0,1.37451762641863,6.900932885599807e-07,4.366713625782791,-7.608044725331836e-06,-0.006414020356579526,3.0893770716612434e-06
5.0,1.3665731876559453,9.808750926257971e-07,4.356701066983795,4.948680359408814e-06,-0.006621049585710142,3.958915613424561e-06
6.0,1.3586689096265758,3.215487382907065e-07,4.346718213672486,4.315538579009899e-06,-0.007515959999990519,4.509874190201491e-06
7.0,1.3507806213334386,-8.364838891955114e-07,4.336869309774072,-2.2180694482667755e-05,-0.009473845367677558,9.685590587071331e-06
8.0,1.3428828974390936,-7.744555778727675e-07,4.327128766800983,-4.5609842781633906e-05,-0.012275050758168237,1.8915622088557074e-05
9.0,1.3349676843675633,1.8537741825478453e-06,4.3174427715622725,-3.2721260583420686e-07,-0.015532224338066771,2.9181268459979535e-05
10.0,1.327034429989735,6.098269029829118e-06,4.307789930594122,0.00014687894470253866,-0.018839086136090318,3.382883877704222e-05
11.0,1.319086125013909,7.517664247012767e-06,4.298155183475052,0.0003245010037849552,-0.02186049162731496,2.7408045737108686e-05
12.0,1.3111367055480405,4.189165057037173e-06,4.288511290930712,0.0004160835600536197,-0.024571940893865607,1.1890801747052054e-05
13.0,1.3031929771072024,-1.407841699608397e-06,4.278859107642263,0.00037176775009889983,-0.02710189205736622,-5.650963421537451e-06
14.0,1.2952579861537494,-6.592755202158909e-06,4.269198861885092,0.00019437316613385344,-0.02964875530940114,-2.4715509729626065e-05
15.0,1.287325625854618,-1.0493711363380373e-05,4.259536908641435,-7.259746061714601e-05,-0.03225493033643756,-4.32614248156281e-05
16.0,1.2793866977584174,-1.2277936984921947e-05,4.249879731870128,-0.0003790783065335954,-0.034770559691319376,-5.736287924221626e-05
17.0,1.2714441003286914,-1.154581678824929e-05,4.240226339411546,-0.0006622336650589345,-0.037123378815989046,-6.479793928449043e-05
18.0,1.2635052954583097,-8.580673799791404e-06,4.230569155850511,-0.0008707791451854919,-0.03941186769351871,-6.721570814562521e-05
19.0,1.2555703635434987,-5.404765650126486e-06,4.220907872274925,-0.0009990300926618304,-0.04171485892472989,-6.709025912194288e-05
20.0,1.2476336093856706,-1.6840704787152161e-07,4.211249537563863,-0.0009956666419645597,-0.043988468281848596,-6.72218643093649e-05
21.0,1.2396992742285338,4.173012245147653e-06,4.201591752904159,-0.0008850350423119169,-0.046317341996730696,-6.85646173109808e-05
22.0,1.2317688249585361,5.7934067565056954e-06,4.191932656239329,-0.0007371246599846271,-0.0487784293293019,-6.98920161340502e-05
23.0,1.2238393242112946,6.175002849357376e-06,4.18227056131185,-0.0005791947522029967,-0.051375031828938184,-7.207083958392634e-05
24.0,1.2159115711946589,6.2736120202409e-06,4.1726056263123255,-0.00041965957034059795,-0.0541432702841116,-7.346063398719422e-05
25.0,1.2070606289509185,5.956871685354229e-06,4.163171671954003,-0.000270713797027424,-0.0574456434505766,-7.487917074643111e-05
26.0,1.1981916336955922,4.2961525501594816e-06,4.1537493129402705,-0.00016533796638735427,-0.060906241194415,-7.683525289578372e-05
27.0,1.1893126093103494,2.2907236135994418e-06,4.1443338673057,-0.00010896475535501509,-0.06431162122394841,-7.918135992785784e-05
28.0,1.1804331695276755,1.212829185762974e-06,4.134916960403494,-7.871541116292468e-05,-0.06766016526771154,-8.170158174539335e-05
29.0,1.1715550957950556,1.163712816057632e-06,4.125500299802077,-4.8542304628034715e-05,-0.0709823280666486,-8.418450410551146e-05
30.0,1.1626784288540666,1.906392197648973e-06,4.116083600013651,2.7348422346416738e-06,-0.07431907018028432,-8.449293019429343e-05
