timestep,x,y,z,roll,pitch,yaw
0.0,1.8477590084075928,0.0,3.765366792678833,0.0,-0.0,0.0
0.0,1.839069275588751,2.2165301389326887e-23,3.7620587148747795,6.891339365073222e-23,-0.0018755258688266253,-6.462444508451863e-26
1.0,1.8302952619693833,-3.485973052852913e-08,3.758792863485774,2.1088653475584551e-07,-0.004341837713709084,-5.680561358379959e-07
2.0,1.8215007594734696,4.4735995248806556e-07,3.755425005460091,1.1318219950347697e-05,-0.006916112271829287,9.636203582811209e-08
3.0,1.8126991524158433,-8.015511706666262e-08,3.752006589198348,7.774140025965162e-07,-0.009239084388730535,-8.776663382920687e-07
4.0,1.8039069843020603,-8.090561437588184e-08,3.7485572496048953,-8.551787454119045e-07,-0.011547793465061403,-6.508496515352395e-07
5.0,1.7951238432221612,-4.2626617064477043e-08,3.7450788204282692,-3.198393391546115e-06,-0.01387151951491344,-6.491128265562897e-07
6.0,1.7863468876672675,-1.4364283505311563e-07,3.74163303438622,-7.461995444069001e-06,-0.01636102890139687,-6.339895324837378e-07
7.0,1.7775726575754558,-2.0259874425228e-07,3.7382355312643423,-1.3101465793838562e-05,-0.01911358052522232,-5.773610158324397e-07
8.0,1.7687993861101297,-2.872065953433329e-07,3.7348470692378184,-2.0497614161371828e-05,-0.02213911791322281,-5.064401709974508e-07
9.0,1.7600264168109485,-3.2384620509333215e-07,3.731455317425856,-2.833872440139751e-05,-0.025413017218291315,-4.0283898338671537e-07
10.0,1.7512478775974738,-2.495179264741497e-07,3.7280691409770275,-3.395975874547493e-05,-0.028794086467472193,-2.647811122220197e-07
11.0,1.7424596852546677,9.843348629339757e-08,3.724706840716428,-3.054161796236501e-05,-0.03211025977218189,-4.050675650410067e-08
12.0,1.7336683282324648,5.338741205237785e-07,3.7213586208458285,-1.6545473946685227e-05,-0.03532904650553456,2.2126755476166475e-07
13.0,1.7248828155250806,7.741219004168386e-07,3.718001260127073,2.722888947488308e-06,-0.0385834079710867,4.348360658893407e-07
14.0,1.7161032216677323,5.886998570258242e-07,3.714636823466467,1.6422463292320163e-05,-0.04198274593861192,4.797288314103464e-07
15.0,1.7073269870673136,-2.2175462573720793e-08,3.7112647302462483,1.452151218717652e-05,-0.045560969617963146,3.0930506152938557e-07
16.0,1.6985449816291933,-6.896056217177852e-07,3.707897159425069,-3.2320845537833523e-06,-0.04916522702759531,3.2293436364553786e-08
17.0,1.6897571609960071,-8.92886462822434e-07,3.7045331737937666,-2.464494783822205e-05,-0.05267477400274315,-1.4141665822390602e-07
18.0,1.6809663777877433,-4.82343096212356e-07,3.7011735589960764,-3.5037518959019675e-05,-0.05605142084780199,-7.767441750109781e-08
19.0,1.67217605983355,1.433941108577292e-07,3.6978168737385966,-3.02275121744893e-05,-0.059325075348614136,1.7041865688446684e-07
20.0,1.663389405350301,5.048095499236088e-07,3.694457113177578,-1.7441029654698145e-05,-0.06257172904716983,4.3616183270935974e-07
21.0,1.6546016829930956,4.7875725765281e-07,3.691101092686225,-6.075729325191744e-06,-0.06576302289838201,5.960370209884048e-07
22.0,1.6458125787141409,2.715093225016395e-07,3.6877430893129963,6.529840700921242e-09,-0.06886522347446665,6.425418123119759e-07
23.0,1.6370243385836816,9.911267119638906e-08,3.6843843664763276,2.0316287511221667e-06,-0.07190882627419899,6.282123419576001e-07
24.0,1.628235213363298,2.0455800131774696e-08,3.6810341154865305,2.326368375208462e-06,-0.07489693667898793,5.976020875359062e-07
25.0,1.6192416847365827,5.402074539468273e-09,3.6767921664890895,2.3649442062683854e-06,-0.07781067798425935,5.711146507139005e-07
26.0,1.6102485453195896,1.391508655511607e-08,3.672528359171621,2.6329413808417606e-06,-0.08061967110934984,5.524480974391325e-07
27.0,1.60125372544537,-1.3198310594126943e-08,3.6682616198149285,2.1684639956564412e-06,-0.08327489563668912,5.273617973347341e-07
28.0,1.592259686627819,-1.414073049070879e-07,3.6639899870634967,-1.5384751488070124e-06,-0.08579262738735305,4.6968228592566824e-07
29.0,1.583266111944697,-3.5523848498763476e-07,3.6597230301418837,-1.0458756266114764e-05,-0.08820656877994167,3.7405328270358076e-07
30.0,1.5742742435543302,-5.1030014874449e-07,3.6554550632735396,-2.2851998284590512e-05,-0.09055353201459179,2.864809313394554e-07
31.0,1.5652861130565863,-4.5320184082903436e-07,3.651178397688708,-3.329855621223965e-05,-0.09288314149297734,2.782095743482237e-07
32.0,1.5562958303704366,-1.3315203082553057e-07,3.6469060485763105,-3.556354210620434e-05,-0.09514926816833609,3.895902569319054e-07
33.0,1.5473026965542587,2.599785001076229e-07,3.642635847720473,-2.840569672114696e-05,-0.09729936152346438,5.80752550710307e-07
34.0,1.5383112559191405,4.653467489241495e-07,3.6383611364625894,-1.6809270715138184e-05,-0.09937224346013276,7.63471834511419e-07
35.0,1.5293206913284927,3.338440087980715e-07,3.634091139373418,-9.051983029190667e-06,-0.10141101285036667,8.522573545100403e-07
36.0,1.5203317329330641,-1.8744149490310554e-08,3.629821687317182,-1.0140738166223099e-05,-0.10345270448019478,8.330190739659971e-07
37.0,1.5113453293197454,-3.2135978153290084e-07,3.6255465636951225,-1.829604513227635e-05,-0.10552695002886714,7.688018253250989e-07
38.0,1.502357176935211,-3.5289088652905224e-07,3.621274025576902,-2.66058212287007e-05,-0.10758964795848437,7.47561753614904e-07
