timestep,x,y,z,roll,pitch,yaw,phase
0.0,2.0,0.0,3.0,0.0,-0.0,0.0,0.0
0.0,1.9910926148724617,0.0,3.0052029017514785,-0.0,-0.0019219698188237492,0.0,0.0
1.0,1.9821037519003324,-3.3020434290472253e-09,3.01065270061364,-9.287185983438513e-08,-0.0043278294884374555,-8.989363562629322e-09,0.0
2.0,1.973112394248703,1.2448152549985979e-08,3.0161783041651296,2.698170507766887e-07,-0.007123352555863073,-3.658499811944957e-09,0.0
3.0,1.9641276201815974,-4.736367819127051e-09,3.0217576442086598,3.000477171228362e-07,-0.010460097348687742,1.2627534198733315e-08,0.0
4.0,1.955143154677249,5.1642010144519425e-09,3.0273545804984487,5.630494380678323e-07,-0.014287571654364596,2.704901341276552e-08,0.0
5.0,1.946153186688311,9.583477617923999e-09,3.0329634697021617,8.85627295795051e-07,-0.018433762643313718,3.7430596221056246e-08,0.0
6.0,1.9371555809609475,3.5872414790505026e-09,3.0385809056054347,1.0192849797930189e-06,-0.022689058307926186,4.313783733085179e-08,0.0
7.0,1.9281582261201335,8.778801626387023e-10,3.044210059137937,1.076570718713272e-06,-0.027062230417538094,4.6050707543582443e-08,0.0
8.0,1.9191567600165516,-3.315654622784695e-09,3.0498533770134735,1.0129049448625877e-06,-0.03144254489408721,4.6625527319651654e-08,0.0
9.0,1.9101539685201239,-1.9731806843769465e-09,3.055502739086963,9.842963280608266e-07,-0.03580415495150709,4.6516125176893244e-08,0.0
10.0,1.9011503714433733,-4.213342850835162e-09,3.0611712312979558,8.846851130984377e-07,-0.040145868326910736,4.521523506198976e-08,0.0
11.0,1.8921411661057637,-9.189367150581209e-10,3.0668448293367594,8.732008154963397e-07,-0.04433135895270997,4.42039812932588e-08,0.0
12.0,1.8831351204013211,-4.782505325903894e-09,3.0725370203238396,7.478688004030014e-07,-0.04848810144107836,4.204944556207293e-08,0.0
13.0,1.8741212556409461,3.845941260623993e-09,3.0782285040089636,8.559089822211752e-07,-0.05240618275828504,4.1396340827387684e-08,0.0
14.0,1.8651149646410412,-9.09199412990582e-09,3.0839300453169245,6.01772318286149e-07,-0.05632979086822374,3.7879848720982014e-08,0.0
15.0,1.8560977718230247,-2.479723076870424e-09,3.089632196879911,5.615933040189962e-07,-0.05996046234472884,3.705885340423933e-08,0.0
16.0,1.8470818258985893,6.436246200069913e-09,3.0953460356305627,7.216984892555325e-07,-0.06339762331662224,3.6683550033580854e-08,0.0
17.0,1.8380674273628064,4.956569293736678e-09,3.101066866825569,8.236832305762639e-07,-0.06669153435986477,3.497857429613519e-08,0.0
18.0,1.8290482911557178,7.768182557332822e-09,3.1067842855735295,1.0017975257333362e-06,-0.06972284043811507,3.3307182428665554e-08,0.0
19.0,1.8200324111253336,6.3215842858920965e-09,3.1125058451698138,1.1303543536470996e-06,-0.07260720037691452,3.065920977103633e-08,0.0
20.0,1.8110174524087357,-1.6762915285814374e-09,3.1182253363631602,1.0587445220465682e-06,-0.07535941235064687,2.7003151808551415e-08,0.0
21.0,1.80199776646576,-4.722502032622613e-09,3.1239416170005034,9.298783495233954e-07,-0.0778617280886202,2.3945839402356366e-08,0.0
22.0,1.7929780889661064,-5.7954648367853453e-11,3.129661621570555,9.267583974444156e-07,-0.08014251489062385,2.2017920407351746e-08,0.0
23.0,1.7839618149641991,4.096132732768215e-09,3.1353810041673777,1.019351184102659e-06,-0.08229143333042706,2.0386353694150447e-08,0.0
24.0,1.77494541033381,1.3081274642714107e-09,3.1410963332006143,1.033539645489638e-06,-0.08429411712520324,1.83046367515162e-08,0.0
25.0,1.7661191711396573,-5.666888333061474e-09,3.146006965375131,8.792109944114589e-07,-0.08597011909000798,1.610992306122551e-08,0.0
26.0,1.7572969394344873,-9.85950862624821e-09,3.1508950569580456,6.345854634902681e-07,-0.08737964138230335,1.4376568932549762e-08,0.0
27.0,1.7484782183256105,-8.244132880382722e-09,3.1557740772728593,4.400398337562385e-07,-0.08859214812475404,1.3416004461660728e-08,0.0
28.0,1.7396622969521023,-2.9083929312522077e-09,3.1606442963298154,3.7827334753098296e-07,-0.08965629144395298,1.3103548250168087e-08,0.0
29.0,1.7308475908375967,2.6167140076875984e-09,3.165508345234361,4.473197623407066e-07,-0.09058739581902768,1.3102454042552435e-08,0.0
30.0,1.7220336193711216,6.0646759982242245e-09,3.170366806065177,5.944703002898701e-07,-0.09139188183289894,1.3115606144949335e-08,0.0
31.0,1.713220730799803,7.082479262440405e-09,3.175219643902917,7.619215623152589e-07,-0.09208460408787325,1.29965073153025e-08,0.0
32.0,1.704409066194045,6.391930856522731e-09,3.180067903356201,9.104579586334023e-07,-0.09268531942407711,1.2721459156841269e-08,0.0
33.0,1.695598525770077,4.904168213875228e-09,3.184912585454999,1.0226300826206342e-06,-0.09321320596348938,1.2327254922684507e-08,0.0
34.0,1.6867893811033803,6.6357351284913145e-09,3.189759259138899,1.2086983312016004e-06,-0.09371183209213041,1.8401120594449488e-08,0.0
35.0,1.677981065506471,4.671916218798692e-09,3.1946017226819805,1.3651005017643116e-06,-0.09423396336715753,2.597603179213889e-08,0.0
36.0,1.6691756395531585,3.5176658141386465e-10,3.1994304081115392,1.3415819467936304e-06,-0.09476197056397712,2.0508278459689992e-08,0.0
37.0,1.6603696688945127,-1.7654475054199818e-08,3.204259683539029,5.927392550244089e-07,-0.09529063471698208,-2.5215481894796472e-08,0.0
38.0,1.6515641073852534,-9.977062988479683e-09,3.209085647657826,7.044314287243491e-07,-0.09582224626765043,3.3107452319110145e-08,0.0
39.0,1.6427591127648336,3.7851299770874764e-08,3.2139099895531,2.0640322929076825e-06,-0.09635919958353407,1.1920814099864554e-07,0.0
40.0,1.6339543614106116,3.450066782101176e-08,3.2187328319907618,2.8666802007141426e-06,-0.09690187746865847,1.2000204113162353e-07,0.0
41.0,1.6251500168749016,-3.938488472395778e-09,3.223554765316353,2.5419736366386654e-06,-0.09746382107803962,9.180885394377071e-08,0.0
42.0,1.6163464971036232,-3.290095155208748e-08,3.228375706193442,1.3933538414643158e-06,-0.09806375520842034,4.348996418960251e-08,0.0
43.0,1.6075437830871377,-3.099426687824229e-08,3.23319636244005,6.666715457627026e-07,-0.09872218462510134,3.272043976433171e-08,0.0
44.0,1.5987417268093145,-3.6065318505741655e-08,3.2380160618168756,-8.588819662709663e-07,-0.09944639851654194,-4.888853138526972e-08,0.0
45.0,1.5899399466768138,-5.562155906695566e-08,3.242836036518125,-2.7334605257631733e-06,-0.10024353703190114,-1.3309446606282563e-07,0.0
46.0,1.5811384333507428,-3.2551130191572674e-08,3.2476562241396567,-4.021393493950273e-06,-0.10111926396493187,-1.833233867410992e-07,0.0
47.0,1.5723368405529323,-9.98336719077982e-09,3.2524764825353243,-4.922891276305594e-06,-0.10206717003165894,-2.7094205929786884e-07,0.0
48.0,1.563534923642015,4.872072258674017e-08,3.257297696582283,-2.972187075453568e-06,-0.10308366540540913,-1.103422498473798e-07,0.0
49.0,1.5547328716956303,1.3394485476781014e-07,3.26211932896537,1.298260778069433e-06,-0.10416495737372905,3.722962733508975e-08,0.0
50.0,1.5455987864881497,-8.07066418639174e-09,3.2650838769744923,-1.1975875908911482e-06,-0.10523831625786878,-3.368601222045107e-07,0.0
51.0,1.5364673589113735,-2.3566820263647065e-07,3.2679958161100724,-9.343232809219709e-06,-0.10626603812052386,-6.819451589915124e-07,0.0
52.0,1.5273393721596382,-2.571807614866647e-07,3.270891416192667,-1.8123873901835353e-05,-0.10727239531923294,-1.1037744971656598e-06,0.0
53.0,1.5182129788126468,-2.3064329182739717e-07,3.2737810041935034,-2.636182106624332e-05,-0.10827018467806535,-1.601195009322374e-06,0.0
54.0,1.5090874086937576,-1.716070707339072e-07,3.2766685388759256,-3.301583494327296e-05,-0.10927029611073137,-2.11036269000829e-06,0.0
55.0,1.4999623426603155,-9.071468327675227e-08,3.2795547474130244,-3.761391747013277e-05,-0.11027919270167552,-2.627889145800111e-06,0.0
56.0,1.49083752050113,-2.0372605704431893e-08,3.2824408995652994,-4.047384642988453e-05,-0.11130215401258427,-3.1533146891466318e-06,0.0
57.0,1.4817129068415795,2.336413934709681e-08,3.2853273524574553,-4.227749875557461e-05,-0.11234517619511081,-3.6900579279388115e-06,0.0
58.0,1.4725886831743435,4.006468917657155e-08,3.288213647895313,-4.366685389583534e-05,-0.11341673785155039,-4.236687529944445e-06,0.0
59.0,1.4634650141733818,3.995154137354742e-08,3.291099285629972,-4.500246480626148e-05,-0.11452690508188976,-4.784931348028407e-06,0.0
60.0,1.4543418351707917,3.6022161812188684e-08,3.2939843286675403,-4.6327213596866254e-05,-0.115683660389445,-5.320390931644705e-06,0.0
61.0,1.4452188394522294,3.5404898542901756e-08,3.296869374585821,-4.752708120637832e-05,-0.11688948294470047,-5.833030995569662e-06,0.0
62.0,1.4360956438079144,3.975947590480581e-08,3.2997551079793994,-4.847793161134109e-05,-0.11814035247458238,-6.319690412426473e-06,0.0
63.0,1.4269721679920584,4.622160111678078e-08,3.302641398350356,-4.9164470640875744e-05,-0.1194312163457377,-6.785239895954785e-06,0.0
64.0,1.4178485959395908,4.937422876486679e-08,3.3055278204340457,-4.970498206274948e-05,-0.12076054366949869,-7.236807801222303e-06,0.0
65.0,1.40872508269334,4.281395284640958e-08,3.308414430932278,-5.038621164624346e-05,-0.1221311310148202,-7.685384315798124e-06,0.0
66.0,1.3996017759236754,2.5011742587781328e-08,3.3113013258949495,-5.150827694165214e-05,-0.12354949081382956,-8.142595896442468e-06,0.0
67.0,1.39047897865942,5.773374381429825e-09,3.3141879160951158,-5.307185846091136e-05,-0.12502634147125954,-8.610004099879531e-06,0.0
