#{"t_start": 1715762824.3744938, "env_id": "None"}
r,l,t,num_wraps,c
-74.147528,60,201.323488,0.043788547140319926,0
-73.867274,60,202.808409,0.0,0
-75.200212,60,204.216372,0.0,0
-74.77635,60,205.637862,0.0,0
-74.078354,60,207.078735,0.0,0
-75.248233,60,208.511132,0.0,0
-71.02051,60,209.935375,0.12281487245918198,0
-73.691603,60,211.455139,0.0,0
-25.506138,20,211.953202,0.7523842155223762,0
-73.902429,60,213.416215,0.0,0
-74.01446,60,214.923941,0.0,0
-74.207093,60,216.419474,0.0,0
-74.676877,60,217.93208,0.0,0
-75.024208,60,219.429023,0.0,0
-72.788806,60,221.334589,0.025261289873751754,0
-74.268147,60,222.808494,0.0,0
-72.436793,60,224.327173,0.0,0
-74.794,60,225.797863,0.0,0
-73.295104,60,227.342391,0.0,0
-19.514379,15,227.696351,0.7515671721404069,0
-74.829688,60,229.115004,0.0,0
-74.007742,60,230.732499,0.0,0
-74.870452,60,232.444839,0.0,0
-74.641121,60,234.104907,0.0,0
-75.413015,60,235.861519,0.0,0
-73.821394,60,237.538404,0.0,0
-74.345348,60,239.072224,0.0,0
-74.169679,60,240.55231,0.0,0
-20.881436,16,240.902431,0.7522989416813589,0
-75.388647,60,242.383093,0.0,0
-76.080795,60,243.787291,0.0,0
-22.815306,18,244.228001,0.7555097149205469,0
-75.969882,60,245.641603,0.0,0
-75.109146,60,247.119752,0.0,0
-73.986156,60,248.625898,0.22092006016201773,0
-73.888361,60,250.125607,0.18815236672401967,0
-73.123812,60,256.666645,0.0,0
-74.152537,60,258.111852,0.0,0
-73.805094,60,259.662882,0.023305747200834486,0
-73.945857,60,261.291594,0.0,0
-76.048762,60,262.945498,0.0,0
-74.103314,60,264.623995,0.0,0
-74.847469,60,266.237715,0.0,0
-71.908229,60,267.751176,0.09653327983708453,0
-73.77812,60,269.195106,0.0,0
-72.050521,60,270.638511,0.0,0
-73.461088,60,272.067002,0.07491385474579561,0
-20.849766,16,272.45801,0.7535969391478741,0
-74.33855,60,273.894198,0.0,0
-74.278312,60,275.264216,0.0,0
-75.356838,60,276.672958,0.0,0
-75.175176,60,278.169359,0.0280803229675262,0
-73.680032,60,279.540683,0.0,0
-74.466737,60,280.912565,0.0,0
-75.253506,60,282.296188,0.0,0
-72.48146,60,283.669708,0.0,0
-21.017479,16,284.050361,0.7505364093261145,0
-74.218851,60,285.449347,0.0,0
-71.744743,60,286.854063,0.0,0
-71.294972,60,288.26403,0.0,0
-72.39483,60,289.743575,0.0,0
-75.369116,60,291.170685,0.0,0
