x,y,z
1.9615705,0,3.3901806
1.7349864,0,3.487646
1.5021915,0,3.5226698
1.2667115,0,3.5070713
1.0312314,0,3.4713442
0.7955755,0,3.44091
0.5596737,0,3.4483845
0.3131614,0,3.4351165
0.067042366,0,3.4376676
0.06353687,0,3.435206
0.06015803,0,3.4329827
0.05552563,0,3.4313138
0.019842472,0,3.3945913
-0.09330709,0,3.3485587
-0.17621306,0,3.285473
-0.20390798,0,3.199398
-0.23425904,0,3.036284
-0.25263292,0,2.8172727
-0.23668048,0,2.5778706
-0.18858027,0,2.3384387
-0.13056447,0,2.109074
