x,y,z,h
2.0,0,3.0,False
1.7748226,0,3.14171,False
1.5546669,0,3.262493,False
1.3265152,0,3.3347695,False
1.0938246,0,3.3694415,False
0.85943234,0,3.3945947,False
0.62467647,0,3.4141867,False
0.38106632,0,3.4191458,False
0.13288954,0,3.407672,False
0.13024868,0,3.404787,False
0.12686872,0,3.4018128,False
0.12337589,0,3.3988385,False
0.118224,0,3.3967822,False
0.08620867,0,3.3634274,False
-0.029947922,0,3.32444,False
-0.12412621,0,3.2586603,True
-0.16132137,0,3.177914,True
-0.20297496,0,3.0045419,True
-0.22670282,0,2.7754157,True
-0.20393161,0,2.532175,True
-0.12625894,0,2.2903233,True
-0.022847489,0,2.0540028,True
