x,y,z,h
1.9615705,0,3.3901806,False
1.7349864,0,3.487646,False
1.5021915,0,3.5226698,False
1.2667115,0,3.5070713,False
1.0312314,0,3.4713442,False
0.7955755,0,3.44091,False
0.5596737,0,3.4483845,False
0.3131614,0,3.4351165,False
0.067042366,0,3.4376676,False
0.06353687,0,3.435206,False
0.06015803,0,3.4329827,False
0.05552563,0,3.4313138,False
0.019842472,0,3.3945913,False
-0.09330709,0,3.3485587,False
-0.17621306,0,3.285473,True
-0.20390798,0,3.199398,True
-0.23425904,0,3.036284,True
-0.25263292,0,2.8172727,True
-0.23668048,0,2.5778706,True
-0.18858027,0,2.3384387,True
-0.13056447,0,2.109074,True
