x,y,z,h
1.6629392,0,4.1111403,False
1.4614666,0,3.8893244,False
1.2384111,0,3.6827705,False
1.0037476,0,3.517928,False
0.7678488,0,3.4320316,False
0.5307475,0,3.4457467,False
0.28298223,0,3.433641,False
0.18663132,0,3.4369311,False
0.18557148,0,3.4340582,False
0.18397072,0,3.4310899,False
0.17962517,0,3.429129,False
0.14080206,0,3.3943555,False
0.02852492,0,3.352972,False
0.025911396,0,3.351011,False
-0.06454341,0,3.260102,True
-0.10715105,0,3.158655,True
-0.1655546,0,2.9577396,True
-0.18840776,0,2.7220092,True
-0.1681854,0,2.481868,True
-0.11586217,0,2.2455535,True
-0.06294256,0,2.0248673,True
